Workshop	Phd student	postdoc	informatician/data analyst	staff scientist	data scientist	Master's student	PI	Research tech	undergrad	total	Form	...13	...14	...15	...16	...17	...18	...19	...20	...21	Bioinformatics Programmer	...23
Workshops at Hutch		10	5	4	4	2	2	4	NA	40	https://docs.google.com/forms/d/1IG9xO8VFKJezrmjpbwkjlPpBscHkgzjF_n_DEBZHQ7Q/edit#question=2105198539&field=1108308781	NA	NA	NA	NA	NA	NA	NA	NA	NA	Master's Student	1
ITCR Trainee Day 2023		8	1	NA	NA	1	NA	1	NA	25	https://docs.google.com/spreadsheets/d/1ls7XdcP87cL_HQvPXOqaeQ4w1Is6NXc5vPr-n7ZMvcE/edit#gid=1000948102	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
ITCR Trainee Day 2022		14	NA	NA	NA	2	NA	NA	1	32	https://docs.google.com/forms/d/1gwnp3zb59afCCkNNI17RhEnw_W9zZBN1xF3DPj9PKeg/edit#responses	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
GLBIO		2	1	NA	NA	8	1	NA	1	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
NA		34	7	4	4	13	3	5	2	113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	not everyone who signed up came though...	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	but we can say that...	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
Percent		30.08849557522124	6.1946902654867255	3.5398230088495577	3.5398230088495577	11.504424778761061	2.6548672566371683	4.424778761061947	1.7699115044247788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	Tgen survey was different	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	14
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	https://docs.google.com/forms/d/1K5zfFSzlcAItTJImpHw5Y5mk36kHl4xretlni0mtXKo/edit#responses	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	and very few came...	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PhD Student	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Postdoctoral Fellow	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Postdoctoral Fellow	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Postdoctoral Fellow	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Postdoctoral Fellow	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Postdoctoral Fellow	8
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Postdoctoral Fellow	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Postdoctoral Fellow	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Postdoctoral Fellow	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Research specialist. I just received my MS degree and I plan to apply for a PhD program next year.	NA
NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	What type of trainee are you?	NA
