website	activeUsers	newUsers	totalUsers	eventCountPerUser	screenPageViewsPerUser	sessions	averageSessionDuration	screenPageViews	engagementRate	target_audience	website_launch	leanpub_launch	coursera_launch	workshop	website_count	leanpub_count	coursera_count
AI for Efficient Programming	120	120	120	23.408333333333335	6.85	335	362.518118638806	822	0.5462686567164179	Software developers	2023-04-01	2023-11-01	2023-10-01	1 - Fred Hutch Aug 2023	120	7	137
NIH Data Sharing	172	172	172	17.709302325581394	5.063953488372093	364	230.25136753571428	871	0.4340659340659341	Leadership	2022-01-01	2023-07-01	NA	1 - Fred Hutch, Oct 2023	172	3	NA
AI for Decision Makers	42	42	42	99.97619047619048	32.595238095238095	253	598.8702858656126	1369	0.691699604743083	Leadership	2023-12-01	NA	2024-01-01	Not yet	42	NA	94
ITN Website	5542	5514	5542	8.145976181883796	2.582100324792494	8889	181.93238263156707	14310	0.4538193272584093	NA	NA	NA	NA	NA	NA	NA	NA
Leadership in Cancer Informatics	396	397	396	13.512626262626263	3.76010101010101	752	229.81381959441487	1489	0.523936170212766	Leadership	2022-01-01	2021-11-01	2021-10-01	1 - Fred Hutch, Aug 2023	396	32	623
Documentation and Usability	734	734	734	9.926430517711172	2.6594005449591283	1080	192.4896645898148	1952	0.5203703703703704	Software developers	2021-08-01	NA	2021-10-01	2 - Virtual, Jan 2022 and Virtual, May 2022	734	26	284
Computing for Cancer Informatics	610	609	611	19.242622950819673	6.00983606557377	1317	279.1047220394837	3666	0.5208807896735004	New to data	2023-08-01	2023-11-01	2022-03-01	2 - TGen, Phoenix, Arizona, Aug 2023 and Fred Hutch, Aug 2023	610	20	931
Reproducibility in Cancer Informatics	1315	1302	1319	10.908745247148289	2.9718631178707224	2080	194.68626023942306	3908	0.4519230769230769	New to data	2021-12-01	2022-02-01	2022-01-01	3 - ITCR Annual Meeting Training Day, St. Louis, Sept, 2022 and ITCR Annual Meeting Training Day, Chicago, Sept 2023 and TGen, Phoenix, Arizona, Aug 2023	1319	12	359
Advanced Reproducibility	334	334	334	14.547904191616766	4.083832335329341	712	221.1210832865169	1364	0.5056179775280899	Software developers	2022-01-01	2022-12-01	2022-01-01	2 - ITCR Annual Meeting Training Day, Chicago, Sept 2023 and ITCR meeting Training Day, St Louis, Sept 2022	334	15	264
Ethical Data Handling	59	58	60	28.11864406779661	8.305084745762711	207	278.8487843913043	490	0.5072463768115942	Leadership	2023-08-01	2023-07-01	NA	1 - ISMB/ECCB, Lyon France, July 2023	60	0	NA
OTTR website	787	786	787	4.83989834815756	1.4129606099110545	1044	67.7687672289272	1112	0.31417624521072796	NA	NA	NA	NA	NA	NA	NA	NA
Choosing Genomics Tools	97	96	97	21.587628865979383	6.195876288659794	253	248.5085996166008	601	0.5849802371541502	New to data	2023-08-01	2023-11-01	NA	2 - ISMB/ECCB, Lyon France, July 2023 and Fred Hutch, Aug 2023	97	13	NA
Overleaf and Latex for Scientific Articles	17	17	17	29.764705882352942	9.941176470588236	49	471.6625947346939	169	0.6122448979591837	Leadership	2023-08-01	2023-07-01	NA	Not yet	17	0	NA
GitHub Automation for Scientists	23	23	23	14.217391304347826	3.9130434782608696	44	202.12459240909092	90	0.5	Software developers	2023-11-01	2024-01-01	2024-01-01	1- ITCR Annual Meeting Training Day, Chicago, Sept 2023	23	2	NA
metricminer.org	2	2	2	7	2	3	26.395661333333333	4	0.6666666666666666	NA	NA	NA	NA	NA	NA	NA	NA
